source,name,sport,person_type,country_as_listed,taiwan_excluded,nationality_review,sanction,source_status,decision_url,named,resolved_or_announced_with_link,name_key,name_matches_existing,publication_approved
USADA,*Name Removed,Weightlifting,not separately classified in source table,,False,pending_individual_verification,No Fault or Negligence,announced,,False,False,name removed,False,False
USADA,"Hooker, Michael",Track and Field,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/michael-hooker-accepts-doping-sanction/,True,True,hooker michael,False,False
USADA,"Keith, Aaron",Para Cycling,not separately classified in source table,,False,pending_individual_verification,14-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/aaron-keith-receives-extended-sanction/,True,True,aaron keith,False,False
USADA,"Biwott, Shadrack",Track and Field,not separately classified in source table,,False,pending_individual_verification,4-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/shadrack-biwott-receives-doping-sanction/,True,True,biwott shadrack,False,False
USADA,"Moore, Karl",Mixed Martial Arts,not separately classified in source table,,False,pending_individual_verification,1-Year Suspension,announced,https://www.usada.org/sanction/karl-moore-accepts-doping-sanction/,True,True,karl moore,False,False
USADA,"Wade, Daniel",Powerlifting,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/daniel-wade-accepts-doping-sanction/,True,True,daniel wade,False,False
USADA,"Qualls, Robert Jerry",Track and Field,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results; Non-Analytical: Additional 3-Month Suspension,announced,https://www.usada.org/sanction/robert-qualls-accepts-doping-sanction/ | https://www.usada.org/sanction/robert-jerry-qualls-accepts-additional-sanction/,True,True,jerry qualls robert,False,False
USADA,"Kim, Ricky",Para Judo,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/kim-accepts-doping-sanction/,True,True,kim ricky,False,False
USADA,"Hoffner, Tiffany",Weightlifting,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/tiffany-hoffner-accepts-doping-sanction/,True,True,hoffner tiffany,False,False
USADA,"Vowell, Michael",Track and Field,not separately classified in source table,,False,pending_individual_verification,Lifetime Suspension,announced,https://www.usada.org/sanction/michael-vowell-and-athlete-accept-doping-sanctions/,True,True,michael vowell,False,False
USADA,*Name Removed,Track and Field,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,,False,False,name removed,False,False
USADA,"Williams, Ray",Powerlifting,not separately classified in source table,,False,pending_individual_verification,16-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/ray-williams-accepts-doping-sanction/,True,True,ray williams,False,False
USADA,"Lo, Francisco",Brazilian Jiu-Jitsu,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/francisco-lo-accepts-doping-sanction/,True,True,francisco lo,False,False
USADA,"Recio, Nicolas",Powerlifting,not separately classified in source table,,False,pending_individual_verification,4-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/nicolas-recio-receives-doping-sanction/,True,True,nicolas recio,False,False
USADA,"Reeve Jr., Kevin",Para Fencing,not separately classified in source table,,False,pending_individual_verification,1-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/paralympic-fencing/kevin-reeve-jr-accepts-doping-sanction/,True,True,jr kevin reeve,False,False
USADA,"Doughty, Steven",Weightlifting,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results; Sanction tolled due to retirement,announced,https://www.usada.org/sanction/steven-doughty-accepts-doping-sanction/,True,True,doughty steven,False,False
USADA,"FitzSimons, Sean",Snowboarding,not separately classified in source table,,False,pending_individual_verification,3-Month Suspension,announced,https://www.usada.org/sanction/sean-fitzsimons-accepts-sanction/,True,True,fitzsimons sean,False,False
USADA,"Shabliy, Alexander",Mixed Martial Arts,not separately classified in source table,,False,pending_individual_verification,6-Month Suspension,announced,https://www.usada.org/sanction/alexander-shabliy-accepts-doping-sanction/,True,True,alexander shabliy,False,False
